91.53,109.25,1.14
GREGOR SAMSA,0.53653467,9,41.98966982608695
RIGHT,0.05841073,40,20.316775652173913
BOSS,0.03620464,76,23.926544695652176
SLEEP,0.023853034,45,9.333795913043476
TRAIN,0.019216927,51,8.522289365217391
HEAD,0.018801086,25,4.087192608695653
EYES,0.012215579,8,0.8497794086956523
DESK,0.008153046,17,1.2052328869565219
DROPS,0.007984039,8,0.5554114086956522
DREAMS,0.0071627507,8,0.49827830956521735
BED,0.007022769,30,1.832026695652174
OFFICE ASSISTANT,0.005992441,27,1.4069209304347827
BROWN BELLY,0.0046340846,8,0.32237110260869567
PARENTS,0.0039749374,30,1.0369401913043477
DOCTOR,0.003917492,35,1.1922801739130435
LEGS,0.0038528405,26,0.8710769826086956
PEOPLE,0.0037320014,8,0.25961748869565215
SUBORDINATES,0.0037069693,8,0.25787612521739134
BACK,0.0034252454,49,1.459452387826087
BELLY,0.0033293806,16,0.4632181704347826
CHEST,0.0033276347,7,0.2025516773913044
POSITION,0.003327228,24,0.6943780173913043
COLLECTION,0.0033184434,23,0.6636886799999999
TOP,0.002997825,17,0.4431567391304348
RECOMMENDATION,0.0028116873,7,0.17114618347826085
BUSINESS,0.002802458,40,0.974768
SECTIONS,0.0027803055,8,0.19341255652173914
ARCHES,0.0027803055,8,0.19341255652173914
REST,0.002756084,8,0.19172758260869563
SIZE,0.002756084,8,0.19172758260869563
WALLS,0.002736682,8,0.19037787826086955
ARM,0.002728013,30,0.7116555652173913
WEATHER,0.002724387,8,0.18952257391304347
STATE,0.0027181234,8,0.18908684521739128
FOOD,0.002706197,8,0.18825718260869564
WORRIES,0.002706197,8,0.18825718260869564
LOTS,0.0027023999,8,0.18799303652173915
NOTICE,0.0026904372,8,0.1871608486956522
ANGER,0.0026426578,7,0.16085743130434782
SLEEPINESS,0.0025732166,7,0.1566305756521739
BREAKFASTS,0.0024698703,9,0.19329419739130432
HUMAN ROOM,0.0024176096,9,0.1892042295652174
DEBT,0.0021147567,7,0.12872432086956523
REPORT,0.0020268224,14,0.24674359652173913
ITCH,0.0016377256,31,0.44147385739130435
NOISE,0.0015411045,8,0.1072072695652174
SORT,0.0015066136,13,0.17031284173913042
GOD,0.0013887956,15,0.18114725217391303
SPOTS,0.00065137167,15,0.08496152217391305
PANE,0.00055954355,15,0.07298394130434782
VERMIN,0.00044874082,15,0.05853141130434783
FUR MUFF,0.00042443638,15,0.05536126695652174
LADY,0.00039836386,15,0.051960503478260874
CHANGE,0.00035892063,7,0.021847342695652177
ALL,0.00035495972,91,0.2808811697391304
TIMES,0.00032742988,15,0.04270824521739131
CURSE,0.0003062273,13,0.034616999130434783
HEADBOARD,0.0002901723,15,0.03784856086956522
DREAM,0.00027625842,23,0.055251684
SALESMEN,0.00027505672,15,0.03587696347826088
TRAIN CONNECTIONS,0.00026737488,15,0.03487498434782609
CONTACT,0.00025588158,15,0.03337585826086956
ONE,0.0002555209,45,0.09998643913043478
CONTRACT,0.00025476492,15,0.033230206956521735
SPOT,0.00025463305,23,0.050926610000000004
BEDDING,0.0002532949,15,0.03303846521739131
TEXTILE SAMPLES,0.0002532263,15,0.033029517391304344
THING,0.00025278307,31,0.06814152321739131
SAMPLES,0.0002479562,21,0.04527895826086956
ALARM CLOCK,0.00024347844,27,0.05716450330434782
RUNG,0.00024312538,20,0.04228267478260869
MORE,0.0002428851,42,0.08870586260869566
EFFORT,0.00024157693,15,0.03151003434782609
HOPE,0.0002307057,13,0.026079774782608693
GENTLEMEN,0.0002280606,15,0.02974703478260869
SOMETHING,0.00022203193,15,0.028960686521739134
MAGAZINE,0.00020946248,15,0.027321193043478263
FRAME,0.00020946248,15,0.027321193043478263
FUR HAT,0.00020914979,15,0.027280407391304346
FUR BOA,0.00020914979,15,0.027280407391304346
VIEWER,0.00020914979,15,0.027280407391304346
WINDOW,0.00020887046,15,0.027243973043478264
RAIN,0.0002086181,58,0.1052160852173913
BIT,0.000208388,15,0.02718104347826087
NONSENSE,0.000208388,15,0.02718104347826087
PAIN,0.00020798093,15,0.027127947391304346
HOME,0.00020746938,15,0.02706122347826087
ANYONE,0.00020746938,15,0.02706122347826087
SHUDDER,0.00020717688,15,0.027023071304347827
PLACE,0.00020717688,15,0.027023071304347827
LUXURY,0.00020667542,15,0.02695766347826087
LIFE,0.00020667542,15,0.02695766347826087
INSTANCE,0.00020656388,15,0.026943114782608697
GUEST HOUSE,0.00020656388,15,0.026943114782608697
DRAWERS,0.00019789307,13,0.022370520956521738
HEAVEN,0.00019781815,13,0.02236205173913043
FORWARDS,0.00019774542,13,0.022353830086956523
HANDS,0.00019774542,13,0.022353830086956523
FURNITURE,0.00019753927,7,0.012024129478260868
TRAIN GO,0.00019722976,13,0.022295538086956522
UNDERSTANDING,0.00019717227,13,0.022289039217391303
SERVICE,0.00019706112,13,0.02227647443478261
SON,0.00019700738,13,0.02227039947826087
INSURANCE COMPANY,0.00019700738,13,0.02227039947826087
PICTURE,0.00017098787,15,0.02230276565217391
CAREER,0.00015874769,8,0.01104331756521739
CLAIM,0.00015286326,13,0.01728019460869565
EVERYTHING,0.0001464413,15,0.01910103913043478
MONEY,0.00014613007,13,0.016519051391304346
NO-ONE,8.972273e-05,13,0.010142569478260869
CASE,7.510134e-05,13,0.008489716695652173
FACT,7.5081705e-05,13,0.00848749708695652
WHOLE,5.7908674e-05,8,0.004028429495652174
LITTLE,5.400201e-05,32,0.015026646260869567
MANY,4.0869138e-05,21,0.007463059982608696
