36.31,275.43,0.03
CARDIGAN MEDITATION ART PARTY,0.00038504283,8,0.0030619708151093435
HEIRLOOM CRAFT BEER FORAGE ROOF PARTY,0.0003846311,6,0.002294022465208748
NARWHAL STREET ART,0.00038386113,10,0.0038157169980119286
TAXIDERMY CHICHARRONES,0.0003831036,10,0.003808186878727635
JUICE STREET ART,0.00038293021,9,0.0034258169880715707
FOOD TRUCK POUTINE STREET ART,0.00038289357,9,0.0034254891948310136
COPPER MUG COLORING BOOK,0.00038112467,8,0.0030308124850894633
MEDITATION STREET ART,0.00038092973,8,0.0030292622664015905
SYNTH STREET ART,0.000380822,8,0.0030284055666003977
FOOD TRUCK STREET ART,0.00038034908,8,0.0030246447713717694
SKATEBOARD CHICHARRONES,0.00037984666,8,0.0030206493836978134
HOT CHICKEN,0.0003796877,137,0.05170697306163022
MEH CHICHARRONES,0.00037786638,10,0.0037561270377733593
HEXAGON LO-FI CHICHARRONES,0.00037683692,8,0.0029967150695825047
MAN BRAID VAPORWARE CHICHARRONES,0.000376603,8,0.0029948548707753476
FOOD TRUCK,0.00037645208,261,0.09766798497017894
PHOTO BOOTH,0.00037641005,221,0.08269047818091453
SHABBY CHIC,0.00037520315,162,0.06042038797216699
LETTERPRESS CHICHARRONES,0.00037493263,8,0.002981571610337972
DOLLAR TOAST CHICHARRONES,0.00037417436,8,0.0029755416302186875
GASTROPUB NARWHAL TRUST FUND HEXAGON CHARTREUSE,0.00037293148,10,0.0037070723658051688
CHARCOAL MIGAS,0.00037281238,10,0.0037058884691848902
FORAGE,0.0003709591,171,0.06305567206759444
CHARCOAL,0.0003706942,189,0.06964334373757455
MICRODOSING FASHION AXE CHARTREUSE,0.0003673474,10,0.0036515646123260435
COFFEE KOGI,0.0003655775,9,0.003270574055666004
CHIA CHARTREUSE,0.00036408237,10,0.0036191090457256456
TAXIDERMY HEALTH GOTH VAPORWARE VINYL TAIYAKI CHARTREUSE,0.0003635005,10,0.0036133250497017897
CHARTREUSE,0.00036275643,133,0.04795885207753479
KOGI CHARTREUSE,0.00036183605,8,0.002877423856858847
LETTERPRESS NARWHAL MUMBLECORE,0.00035854738,10,0.003564089264413519
MAN BUN,0.00035467785,249,0.08778805631212723
MAN BUN FOOD TRUCK,0.0003525736,10,0.003504707753479125
SUBWAY TILE FOOD TRUCK,0.00035165722,10,0.0034955986083499003
COFFEE WAYFARERS,0.00035163277,10,0.003495355566600398
CHARTREUSE KALE CHIPS FOOD TRUCK,0.00035074874,8,0.002789254393638171
HELVETICA MICRODOSING CARDIGAN JEAN SHORTS,0.00035074097,10,0.003486490755467197
VINYL FOOD TRUCK,0.00035020884,8,0.002784960954274354
TRADE FOOD TRUCK,0.00034950007,8,0.0027793246123260433
BULB FOOD TRUCK,0.0003493305,8,0.002777976143141153
ENNUI JEAN SHORTS,0.0003490296,10,0.0034694791252485088
LOMO FOOD TRUCK,0.0003488795,6,0.002080792246520875
COFFEE MAN BUN,0.0003483084,10,0.00346231013916501
MASTER CLEANSE CHICHARRONES JEAN SHORTS,0.00034797317,10,0.003458977833001988
GREEN JUICE,0.00034767872,154,0.05322318377733599
HELL,0.00034763437,343,0.11852742436381712
LO-FI VICE,0.00034658433,10,0.0034451722664015907
ENNUI NARWHAL RACLETTE SHOREDITCH,0.0003463408,10,0.003442751491053678
JIANBING CRAFT BEER,0.00034492943,10,0.0034287219681908548
MEDITATION,0.00034485775,201,0.0689029898111332
FOOD TRUCK PINTEREST JEAN SHORTS,0.00034456432,8,0.0027400741153081514
WOLF,0.00034392736,251,0.08581090194831013
HEIRLOOM MAN BRAID DIRECT TRADE,0.0003438565,10,0.003418056660039761
CHIA HEIRLOOM,0.00034370887,8,0.002733271332007952
ROOF PARTY SRIRACHA,0.00034364086,8,0.0027327304970178926
TAXIDERMY LYFT IRONY,0.00034317645,10,0.0034112967196819085
VICE,0.0003431547,16,0.005457728827037774
DIY MESSENGER BAG MAN BUN,0.00034315433,8,0.002728861471172962
ENNUI ENAMEL PIN KEFFIYEH MLKSHK FOOD TRUCK BIODIESEL WOLF,0.00034279388,10,0.0034074938369781315
SHORTS,0.00034251256,196,0.06673206934393638
WOLF MOON POUTINE JEAN SHORTS,0.00034197737,8,0.0027195019483101392
MUSTACHE CHAMBRAY,0.00034182842,8,0.00271831745526839
CRAFT BEER,0.00034161136,28,0.009508069662027835
WHATEVER,0.00034133188,219,0.07430584664015905
BIODIESEL,0.0003410695,210,0.07119741053677933
VEXILLOLOGIST WOLF,0.0003405533,10,0.0033852216699801195
LA CROIX CLICHE VICE,0.00034005847,10,0.003380302882703777
PHOTO BOOTH VAPORWARE IRONY,0.0003398803,10,0.0033785318091451295
PUG UNICORN DIY HELL,0.00033959065,10,0.0033756525844930423
SKATEBOARD PORK BELLY HOODIE BIODIESEL,0.00033923652,10,0.0033721324055666006
OFFAL BIODIESEL,0.0003386936,10,0.003366735586481113
DIY,0.0003384281,225,0.07569216948310138
KEYTAR TUMERIC QUINOA VICE,0.00033802033,10,0.0033600430417495032
BRUNCH KEYTAR,0.00033737088,10,0.003353587276341948
STREET ART HEIRLOOM KEYTAR,0.0003372702,10,0.00335258648111332
BULB PRISM WOLF,0.00033720356,8,0.002681539244532803
VAPE HELL,0.00033709354,10,0.0033508304174950303
PORTLAND VICE,0.00033686057,10,0.0033485146123260435
UMAMI FASHION AXE PHOTO BOOTH,0.00033678874,10,0.0033478005964214714
RETRO LOCAVORE EDISON BULB TACOS IRONY,0.0003367507,9,0.0030126802186878727
SRIRACHA JIANBING VICE,0.00033643018,10,0.003344236381709742
IRONY FASHION AXE,0.00033631793,8,0.0026744964612326044
BIODIESEL VICE,0.00033631487,18,0.006017562286282306
LISTICLE CRAFT BEER CORNHOLE CELIAC VAPE PABST VICE,0.00033605748,9,0.003006478449304175
FORAGE SQUID,0.0003359573,10,0.003339535785288271
BANH MI,0.00033592433,166,0.05543085365805169
POLAROID,0.00033563212,195,0.06505791590457256
SYNTH PORTLAND KEYTAR,0.00033507246,10,0.003330740159045726
SELVAGE COLORING BOOK CRAFT BEER,0.00033476594,10,0.0033276932405566597
CHARCOAL VICE,0.00033462135,8,0.0026610047713717696
VINYL GOCHUJANG,0.00033459457,17,0.0056541825944334
SYNTH KALE CHIPS MESSENGER BAG BIODIESEL,0.0003341039,10,0.0033211123260437378
CHIA HELL,0.00033356214,10,0.00331572703777336
FANNY PACK BANH MI CRAFT BEER,0.00033351115,10,0.003315220178926441
COPPER MUG WOLF IRONY VICE,0.00033334314,8,0.002650840079522863
WOLF FANNY PACK,0.0003325955,10,0.0033061182902584495
WOLF MOON HELL,0.00033255506,10,0.003305716302186878
WAISTCOAT TRUFFAUT COLORING BOOK,0.00033255506,10,0.003305716302186878
BATCH LEGGINGS SQUID,0.00033248265,10,0.0033049965208747515
GODARD PHOTO BOOTH,0.0003324409,10,0.0033045815109343938
TUMERIC PHOTO BOOTH,0.0003322301,10,0.003302486083499006
MAN BRAID LETTERPRESS BIODIESEL,0.00033222302,8,0.002641932564612326
HEALTH GOTH KEYTAR,0.0003321986,8,0.002641738369781312
IRONY HELL,0.00033214944,10,0.003301684294234592
DREAMCATCHER BICYCLE RIGHTS HELLA,0.00033160672,10,0.003296289463220676
FAM CRAFT BEER,0.0003316009,8,0.0026369852882703777
COPPER MUG KEFFIYEH LETTERPRESS SUCCULENTS HEXAGON COLORING BOOK,0.0003314405,10,0.00329463717693837
MLKSHK BIODIESEL,0.00033120398,15,0.004938429125248509
CARDIGAN CRAFT BEER,0.00033103643,8,0.0026324964612326044
CHICKEN WAYFARERS,0.00033082863,10,0.0032885549701789263
DRINKING VINEGAR COLORING BOOK,0.0003306967,10,0.0032872435387673953
KOGI SQUID,0.00033057682,10,0.003286051888667992
LYFT SQUID,0.00033043037,9,0.0029561365109343936
ARTISAN COLORING BOOK DREAMCATCHER KITSCH PHOTO BOOTH,0.00033023008,10,0.0032826051689860834
YR MIXTAPE,0.0003301583,10,0.0032818916500994035
HEIRLOOM TRUST FUND YR WAYFARERS,0.00033003552,10,0.0032806711729622263
BULB MLKSHK BIODIESEL,0.0003300313,8,0.00262450337972167
FINGERSTACHE SQUID,0.00033001977,16,0.00524882337972167
POUTINE MEGGINGS BIODIESEL,0.00032986896,8,0.0026232124055666005
MAN BUN CRONUT MIXTAPE SYNTH HELL,0.0003296655,10,0.003276993041749503
SEMIOTICS HELL,0.0003294585,10,0.0032749353876739564
DIY FANNY PACK,0.00032944992,10,0.003274850099403579
SQUID,0.00032944308,221,0.07237268457256461
JUICE SCENESTER COLORING BOOK,0.00032914756,10,0.0032718445328031812
SANTO WOLF SQUID,0.0003289497,8,0.0026159021868787276
POLAROID SQUID,0.000328875,8,0.002615308151093439
TILDE FAM COLORING BOOK,0.00032873804,9,0.002940996381709742
RAMPS,0.00032873737,171,0.05587881736580516
COFFEE ART PARTY HELL,0.00032850733,9,0.0029389323757455267
CHARTREUSE WAYFARERS,0.0003283908,10,0.0032643220675944336
SYNTH SQUID,0.00032830006,5,0.0016317100397614313
SALVIA FOOD TRUCK HELLA,0.00032784292,8,0.002607100755467197
KICKSTARTER,0.0003277292,207,0.0674353324055666
DOLLAR TOAST SQUID,0.0003276011,8,0.002605177733598409
SYNTH GOCHUJANG LOCAVORE FANNY PACK,0.0003275874,10,0.0032563359840954275
FOOD TRUCK KOGI HEALTH GOTH HELL,0.00032729495,8,0.0026027431411530817
PITCHFORK HELL,0.00032727118,8,0.002602554115308151
VINYL MICRODOSING HELL,0.00032707438,8,0.0026009891053677936
COPPER MUG,0.00032695994,204,0.066302015666004
COPPER,0.00032684376,32,0.010396620596421472
BANH MI HELL,0.0003268011,10,0.003248519880715706
DRINKING VINEGAR PHOTO BOOTH,0.00032664684,10,0.00324698648111332
SQUID NEUTRA COPPER MUG,0.00032660374,10,0.003246558051689861
SNACKWAVE SHAMAN HELL,0.0003262759,8,0.0025946393638170973
BOOK,0.00032615676,221,0.07165073952286284
DIY GASTROPUB COLORING BOOK,0.00032597137,8,0.002592217654075547
POUTINE FANNY PACK,0.0003258435,10,0.003239000994035785
SWAG,0.0003251182,173,0.05590998866799206
QUINOA TRUST FUND KEFFIYEH SUBWAY TILE WAISTCOAT,0.00032458,10,0.003226441351888668
SELFIES COPPER MUG,0.00032445602,10,0.003225208946322068
KEFFIYEH WAYFARERS,0.00032442773,10,0.00322492773359841
MEGGINGS FANNY PACK,0.00032433216,10,0.0032239777335984093
HAMMOCK MICRODOSING BANJO KEYTAR PITCHFORK HEALTH GOTH BEARD,0.00032421216,10,0.0032227848906560635
CHICKEN PHOTO BOOTH,0.00032407406,8,0.0025771297017892643
PINTEREST TAXIDERMY FANNY PACK,0.00032395814,10,0.003220259840954274
ENNUI,0.0003238944,124,0.039923365407554666
