81.12,123.27,6.61
DREAMS,0.29308334,1,22.54487230769231
GREGOR SAMSA,0.1782042,1,13.708015384615384
BED,0.11646209,2,17.917244615384618
VERMIN,0.11646209,1,8.958622307692309
BEDDING,0.04127571,1,3.175054615384615
BROWN BELLY,0.039451633,1,3.034741
BACK,0.037990596,1,2.9223535384615387
HEAD,0.037990596,1,2.9223535384615387
ARCHES,0.034786846,1,2.675911230769231
SECTIONS,0.034786846,1,2.675911230769231
LEGS,0.025806407,1,1.9851082307692307
SIZE,0.025806407,1,1.9851082307692307
REST,0.01789325,1,1.3764038461538461
